city,final_hub,name,address,accreditation_type,website,phone,lat,lng,nabh_speciality_codes,nabh_speciality_names,nabh_speciality_count,match_type,match_score,Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,Application Status,Hospital Address,pmjay_speciality_count,final_city,p_focused_specialities,p_focused_count,unified_specialities,unified_count,unified_score,super_specialities_score_v2,google_rating,google_reviews,Unnamed: 34,Hospital_type,diff_score,unified_specialities_updated,market_alignment_score,Hospital_type_v3,New_Types_V2,reviews_phone,reviews_website,reviews_lat,reviews_lng,New_Types
mumbai,MUMBAI,godrej memorial hospital,"PIROJSHANAGAR, VIKHROLI EAST, VIKHROLI, MUMBAI, Maharashtra, India, 400079",Accredited,http://www.godrejhospital.com/,+91 22 6641 7100,19.0966611,72.9239095,CAR|EMD|GAS|MED|NEU|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,9,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|ONC|ORT|PUL|URO,9,9,3.56,4,821,,TERTIARY,9.68,CAR|EMD|GAS|MED|NEU|ONC|OPH|ORT|PUL|SUR|URO,9.68,TERTIARY,Standard Secondary General,022 6641 7100,http://www.godrejhospital.com/,19.1037851,72.9273209,Standard Secondary General
mumbai,MUMBAI,holy family hospital,"ST ANDREWS ROAD, BANDRA WEST, BANDRA WEST, MUMBAI, MUMBAI, Maharashtra, India, 400050",Accredited,http://holyfamilyhospital.in/,+91 22 6267 0555,19.0584578,72.8267101,CAR|EMD|END|GAS|MED|NEU|ONC|OPH|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Neurosciences|Oncology|Ophthalmology|Pulmonology|Surgery|Urology,9,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|ONC|PUL|URO,9,9,3.56,4.7,5813,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|ONC|OPH|PUL|SUR|URO,10,TERTIARY,Standard Secondary General,022 6267 0555,http://holyfamilyhospital.in/,19.0551249,72.8272688,Standard Secondary General
mumbai,MUMBAI,s.l. raheja (a fortis associate) hospital,"Gate No.5, Raheja rugnalaya marg, Mahim west, Raheja rugnalaya marg, Mahim west, Mumbai, Mumbai, Maharashtra, India, 400016",Accredited,https://www.rahejahospital.com/?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,+91 22 6884 6143,19.0389674,72.8397726,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.8,7504,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Tertiary Corporate,022 6884 6143,https://www.rahejahospital.com/?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,19.0462883,72.8426504,Tertiary Corporate
mumbai,MUMBAI,lilavati hospital and research centre,"A-791, Bandra Reclamation, Mumbai, Mumbai, Maharashtra, India, 400050",Accredited,https://www.lilavatihospital.com/,+91 22 6930 1000,19.0509093,72.8291151,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.4,4529,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6930 1000,https://www.lilavatihospital.com/,19.0510043,72.8293225,Advanced Multispecialty
mumbai,MUMBAI,p d hinduja national hospital & research centre,"Veer Savarkar Marg
Mahim, Mumbai, Maharashtra, 400016",Accredited,https://www.hindujahospital.com/,+91 22 6924 8000,19.0345039,72.8388085,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,10,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10,3.78,3.9,2440,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6924 8000,https://www.hindujahospital.com/,19.033262,72.8389847,Advanced Multispecialty
mumbai,MUMBAI,shantiniketan hospital,"E-BLDG,SHANTINIKETAN,L.B.S. MARG,GHATKOPAR WEST, Mumbai, Maharashtra, 400086",Certified,https://www.drlokhandeshospital.com/,+91 22 2500 1005,19.1159082,72.9275776,CAR|MED|OPH|ORT|SUR,Cardiology|General Medicine|Ophthalmology|Orthopedics|Surgery,3,NABH+PMJAY,100,HOSP27P126335,SHANTINIKETAN HOSPITAL,MAHARASHTRA,MUMBAI,9137679658,"M1, M7, S7, S1, S2, S4, S5",Private(For Profit),Only CGHS,Hospital Approved for Empanelment,E-BULDG GROUNG FLOOR SHANTINIKETAN L.B.S MARG GHATKOPAR (WEST ) ,7,MUMBAI,"M1, M7, S7, S1, S5",4,CAR|EMD|MED|ORT|URO,5,5.1,2.28,4,404,,ADVANCED,6.41,CAR|EMD|MED|OPH|ORT|SUR|URO,6.41,ADVANCED,Small Day-Care Clinics,022 2500 1005,https://www.drlokhandeshospital.com/,19.0952355,72.9138524,Small Day-Care Clinics
mumbai,MUMBAI,kokilaben dhirubhai ambani hospital & medical research institute,"FOUR BUNGALOWS, ANDHERI (WEST), MUMBAI, MUMBAI, Maharashtra, India, 400053",Accredited,https://www.kokilabenhospital.com/,+91 22 4269 6969,19.1247347,72.8264378,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,3.8,4780,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Tertiary Corporate,022 4269 6969,https://www.kokilabenhospital.com/,19.1311486,72.8249161,Tertiary Corporate
mumbai,MUMBAI,dr l h hiranandani hospital,"Hill Side Avenue, Hiranandani Gardens, Powai, Mumbai, Mumbai Suburban, Maharashtra, India, 400076",Accredited,https://www.hiranandanihospital.org/,+91 84240 07007,19.1372292,72.9176796,CAR|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,10,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10,3.81,4.6,4891,,TERTIARY,10,CAR|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Tertiary Corporate,084240 07007,https://www.hiranandanihospital.org/,19.1205191,72.9169504,Tertiary Corporate
mumbai,MUMBAI,bai jerbai wadia hospital for children,"Acharya Donde Marg, Parel East, Mumbai, Maharashtra - 400012, Mumbai, Maharashtra, 400012",Accredited,http://www.wadiahospitals.org/,+91 22 2414 6965,19.0043211,72.8412195,CAR|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Hepatology|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,12,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|ORT|PUL|URO,12,12,4,3.4,406,,TERTIARY,10,CAR|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Boutique Super-Specialty,022 2414 6965,http://www.wadiahospitals.org/,19.0044933,72.8418894,Boutique Super-Specialty
mumbai,MUMBAI,global hospital - superspeciality & transplant centre,"35, Dr. E Borges Road, Hospital Avenue, Parel  Mumbai - 400012, Maharashtra",Accredited,https://www.gleneagleshospitals.co.in/gleneagles-hospital-parel-mumbai,+91 75488 10101,18.9995651,72.8408438,CAR|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Endocrinology|Gastroenterology|General Medicine|Hepatology|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|END|GAS|HEP|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,4,4.8,22291,,TERTIARY,10,CAR|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Tertiary Corporate,092402 61611,https://www.gleneagleshospitals.co.in/gleneagles-hospital-parel-mumbai,18.9995043,72.8406054,Tertiary Corporate
mumbai,MUMBAI,matushree gomati hospital,"No 63/64, L.T. Nagar, 4th Lane, Mahatma Gandhi Rd, Goregaon West, Mumbai, Maharashtra 400104, Mumbai, Maharashtra, 400104",Certified,http://matushreegomatihospital.com/,+91 99203 13039,19.1623903,72.8398093,CAR|GAS|MED|NEU|NPH|OPH|ORT|SUR|URO,Cardiology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Ophthalmology|Orthopedics|Surgery|Urology,7,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|GAS|MED|NEU|NPH|ORT|URO,7,7,3.13,4.5,218,,ADVANCED,8.76,CAR|GAS|MED|NEU|NPH|OPH|ORT|SUR|URO,8.76,ADVANCED,Small Day-Care Clinics,099203 13039,http://matushreegomatihospital.com/,19.1612077,72.8401846,Small Day-Care Clinics
mumbai,MUMBAI,newera hospitals mumbai pvt. ltd.,"PLOT NO, 48, 48 SECTOR 7,  SION PANVEL HIGHWAY, VASHI, NAVI MUMBAI-400703, Thane, Maharashtra, 400703",Certified,,,19.069833,72.987433,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Dialysis|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.8,2609,,TERTIARY,10,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,091729 70111,https://www.newerahospitals.com/,19.0698172,72.9872102,Advanced Multispecialty
mumbai,MUMBAI,hiranandani hospital (a fortis associate hospital),"Miniseashore Road, Sector-10A, Vashi, Navi Mumbai, Thane, Maharashtra, India, 400703",Accredited,https://www.fortishealthcare.com/location/hiranandani-fortis-hospital-vashi-mumbai?utm_source=google-gmb&utm_medium=vashi-gmb&utm_campaign=FHL-gmb,+91 22 6884 6143,19.0786246,72.9920147,CAR|END|GAS|MED|NEU|NPH|ONC|OPH|SUR,Cardiology|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Surgery,7,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|END|GAS|MED|NEU|NPH|ONC,7,7,3.38,4.7,10870,,ADVANCED,9.75,CAR|END|GAS|MED|NEU|NPH|ONC|OPH|SUR,9.75,ADVANCED,Tertiary Corporate,022 6884 6143,https://www.fortishealthcare.com/location/hiranandani-fortis-hospital-vashi-mumbai?utm_source=google-gmb&utm_medium=vashi-gmb&utm_campaign=FHL-gmb,19.0834021,72.9956532,Tertiary Corporate
mumbai,MUMBAI,"mgm new bombay hospital, vashi","Sector 3, Plot 35, Vashi, Navi Mumbai, MGM New Bombay Hospital, Vashi, Maharashtra, India, 400703",Accredited,http://www.mgmhospitalvashi.net/,+91 1800 266 5456,19.072693,72.9936479,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.4,3263,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,1800 266 5456,http://www.mgmhospitalvashi.net/,19.072693,72.9936479,Advanced Multispecialty
mumbai,MUMBAI,upasani super speciality hospital private limited,"1109/1A, Devi Dayal Cross Road, Mulund (west), Mumbai, Mumbai Suburban, Maharashtra, India, 400080",Accredited,http://www.ussh.in/,+91 22 6881 4200,19.1745996,72.9423708,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.5,1295,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6881 4200,http://www.ussh.in/,19.1745996,72.9423708,Advanced Multispecialty
mumbai,MUMBAI,jagjivan ram hospital western railway,"MARATHA MANDIR MARG, MUMBAI CENTRAL, Mumbai, Maharashtra, 400601",Certified,,,18.9710853,72.8237113,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Dialysis|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4,79,,ADVANCED,9.82,CAR|DIA|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,9.82,ADVANCED,Government,,,18.9704955,72.8240561,Government
mumbai,MUMBAI,jaslok hospital & research center,"Dr. G. Deshmukh Marg , Peddar Road , Mumbai , Mumbai , Maharashtra, India, 400026",Accredited,https://www.jaslokhospital.net/,,18.9714097,72.8094413,CAR|EMD|END|MED|OPH|SUR,Cardiology|Emergency Medicine|Endocrinology|General Medicine|Ophthalmology|Surgery,4,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|MED,4,4,2.05,4.8,11828,,CORE,6.16,CAR|EMD|END|MED|OPH|SUR,6.16,CORE,Advanced Multispecialty,099301 92000,https://www.jaslokhospital.net/,18.9716603,72.8098319,Advanced Multispecialty
mumbai,MUMBAI,apex hospitals mulund,"Tulsi Pipe Line Road  Veena Nagar Phase -II, Mulund West  Mumbai - 400080, Maharashtra",Accredited,https://apexgroupofhospitals.com/,,19.1822003,72.9447648,CAR|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,9,NABH+PMJAY,100,HOSP27P128173,Apex Hospitals Mulund,MAHARASHTRA,MUMBAI,9321337001,"M1, M2, S8, M7, S7, S1, S12, S2, S3, S4, S5",Private(For Profit),Only CGHS,Hospital Approved for Empanelment,"VEENA NAGAR, PHASE II, TULSI PIPELINE ROAD, MULUND WEST",11,MUMBAI,"M1, S8, M7, S7, S1, S12, S5",4,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10.1,3.78,4.6,2919,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,,https://apexgroupofhospitals.com/,19.1819776,72.9428067,Advanced Multispecialty
mumbai,MUMBAI,breach candy hospital trust,"60,A Bhulabhai Desai Road,Mumbai, Mumbai, Maharashtra, 400026",Accredited,http://www.breachcandyhospital.org/,+91 22 6259 7788,18.9724886,72.8042302,CAR|DIA|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Dialysis|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Hepatology|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,13,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|DIA|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|ORT|PUL|URO,13,13,4,4.2,661,,TERTIARY,10,CAR|DIA|EMD|END|GAS|HEP|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6259 7788,http://www.breachcandyhospital.org/,18.9725348,72.8045668,Advanced Multispecialty
